TITLE,ALBUM,ARTIST,IS_NEW
"Hey Man, Nice Shot - Remastered Version",Short Bus,Filter,false
Bad Company,War is the Answer,Five Finger Death Punch,false
Far From Home,War is the Answer,Five Finger Death Punch,false
Under and Over It,American Capitalist (Deluxe),Five Finger Death Punch,false
Go Your Own Way,Rumours,Fleetwood Mac,false
The Chain,Rumours (Super Deluxe),Fleetwood Mac,false
I Ran (So Far Away),A Flock Of Seagulls,A Flock Of Seagulls,false
All My Life,One By One (Expanded Edition),Foo Fighters,false
Best of You,In Your Honor,Foo Fighters,false
Big Me,Foo Fighters,Foo Fighters,false
Breakout,There Is Nothing Left To Lose,Foo Fighters,false
Everlong,The Colour And The Shape,Foo Fighters,false
I'll Stick Around,Foo Fighters,Foo Fighters,false
Learn to Fly,There Is Nothing Left To Lose,Foo Fighters,false
Monkey Wrench,The Colour And The Shape,Foo Fighters,false
My Hero,The Colour And The Shape,Foo Fighters,false
The Pretender,"Echoes, Silence, Patience & Grace",Foo Fighters,false
This Is a Call,Foo Fighters,Foo Fighters,false
Times Like These,One By One (Expanded Edition),Foo Fighters,false
Cold as Ice,Foreigner (Expanded),Foreigner,false
I Want to Know What Love Is,Agent Provocateur,Foreigner,false
Juke Box Hero,4 (Expanded),Foreigner,false
Urgent,Renegades & Juke Box Heroes (Live),Foreigner,false
Far From Over,Frank Stallone,Frank Stallone,false
Hemorrhage (In My Hands),Something Like Human,Fuel,false
Waiting Room,13 Songs,Fugazi,false
I Think I'm Paranoid,Version 2.0 (20th Anniversary Deluxe Edition),Garbage,false
Only Happy When It Rains,Garbage (20th Anniversary Super Deluxe Edition),Garbage,false
Push It,Version 2.0 (20th Anniversary Deluxe Edition),Garbage,false
Queer,Garbage (20th Anniversary Super Deluxe Edition),Garbage,false
Stupid Girl,Garbage (20th Anniversary Super Deluxe Edition),Garbage,false
Out In The Fields,Run For Cover,"Gary Moore,Phil Lynott",false
Cars,The Pleasure Principle,Gary Numan,false
Are 'Friends' Electric?,Replicas Redux,"Gary Numan,Tubeway Army",false
Bad To The Bone,BAD TO THE BONE,George Thorogood & The Destroyers,false
Call Me Little Sunshine,IMPERA,Ghost,false
Cirice,Meliora,Ghost,false
Dance Macabre,Prequelle,Ghost,false
Faith,Prequelle,Ghost,false
From The Pinnacle To The Pit,Meliora,Ghost,false
He Is,Meliora,Ghost,false
Hunter’s Moon,IMPERA,Ghost,false
Kiss The Go-Goat,Seven Inches Of Satanic Panic,Ghost,false
Life Eternal,Prequelle,Ghost,false
Mary On A Cross,Seven Inches Of Satanic Panic,Ghost,false
Pro Memoria,Prequelle,Ghost,false
Rats,Prequelle,Ghost,false
Square Hammer,Meliora,Ghost,false
Watcher In The Sky,IMPERA,Ghost,false
Year Zero,Infestissumam,Ghost,false
Silvera,,Gojira,true
Stranded,,Gojira,true
99 Red Balloons,Stomping Ground,Goldfinger,false
Lifestyles of the Rich & Famous,The Young and The Hopeless,Good Charlotte,false
21 Guns,21st Century Breakdown,Green Day,false
American Idiot,American Idiot,Green Day,false
Basket Case,Dookie,Green Day,false
Boulevard of Broken Dreams,Boulevard of Broken Dreams,Green Day,false
Brain Stew,Insomniac,Green Day,false
Good Riddance (Time of Your Life),Nimrod,Green Day,false
Hitchin' a Ride,Nimrod,Green Day,false
Holiday,Holiday,Green Day,false
Longview,Dookie,Green Day,false
Welcome to Paradise,Dookie,Green Day,false
When I Come Around,Dookie,Green Day,false
Don't Cry,Use Your Illusion I,Guns N' Roses,false
It's So Easy,Appetite For Destruction,Guns N' Roses,false
Mr. Brownstone,Appetite For Destruction,Guns N' Roses,false
Nightrain,Appetite For Destruction,Guns N' Roses,false
Paradise City,Appetite For Destruction,Guns N' Roses,false
Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,false
Welcome To The Jungle,Appetite For Destruction,Guns N' Roses,false
You Could Be Mine,Use Your Illusion II,Guns N' Roses,false
Familiar Taste of Poison,Halestorm (Deluxe),Halestorm,false
Here's to Us,The Strange Case of...,Halestorm,false
I Get Off,Halestorm (Deluxe),Halestorm,false
I Miss the Misery,The Strange Case of...,Halestorm,false
Love Bites (So Do I),The Strange Case of...,Halestorm,false
Beating Heart Baby,Decadence,Head Automatica,false
Alone,Bad Animals,Heart,false
Barracuda,Little Queen,Heart,false
Unsung,Meantime,Helmet,false
Join Me In Death,Uneasy Listening Vol.1,HIM,false
Solitary Man,,HIM,true
Wicked Game,,HIM,true
Wings of a Butterfly,Dark Light,HIM,false
Painted On My Heart,"A Tribute to the Rock 'N' Roll Allstars: Kiss, Guns N' Roses, Deep Purple and More, Vol. 1",The Hit Co.,false
Main Offender,Veni Vidi Vicious,The Hives,false
Celebrity Skin,Celebrity Skin,Hole,false
Doll Parts,Live Through This,Hole,false
Malibu,Celebrity Skin,Hole,false
Violet,Live Through This,Hole,false
Crawling In The Dark,Hoobastank,Hoobastank,false
The Reason,The Reason (20th Anniversary),Hoobastank,false
Hit Me With Your Rhythm Stick,Sex & Drugs & Rock & Roll,"Ian Dury,The Blockheads",false
Never Fight A Man With A Perm,Joy as an Act of Resistance.,IDLES,false
The Passenger,Lust For Life,Iggy Pop,false
Radioactive,Night Visions,Imagine Dragons,false
Drive,Make Yourself,Incubus,false
The Warmth,Make Yourself,Incubus,false
Wish You Were Here,Morning View,Incubus,false
Devil Inside,Kick (Remastered 2011),INXS,false
Mystify,Kick (Remastered 2011),INXS,false
Need You Tonight,Kick (Remastered 2011),INXS,false
Never Tear Us Apart,Kick (Remastered 2011),INXS,false
Suicide Blonde,X,INXS,false
Aces High,Powerslave,Iron Maiden,false
Bring Your Daughter... to the Slaughter,No Prayer for the Dying,Iron Maiden,false
Can I Play with Madness,Seventh Son of a Seventh Son,Iron Maiden,false
