TITLE,ARTIST,IS_NEW
Better Man,Pearl Jam,false
Even Flow,Pearl Jam,false
Jeremy,Pearl Jam,false
Judith,A Perfect Circle,false
Passive,A Perfect Circle,false
Pet,A Perfect Circle,false
The Outsider,A Perfect Circle,false
Digging In The Dirt,Peter Gabriel,false
Shock The Monkey,Peter Gabriel,false
Cuts You Up,Peter Murphy,false
Another Brick In The Wall (Part 2),Pink Floyd,false
Wish You Were Here,Pink Floyd,false
Debaser,Pixies,false
Gigantic,Pixies,false
Here Comes Your Man,Pixies,false
Hey,Pixies,false
Monkey Gone to Heaven,Pixies,false
Wave Of Mutilation,Pixies,false
Where Is My Mind?,Pixies,false
Down By The Water,PJ Harvey,false
Every You Every Me,Placebo,false
Nancy Boy,Placebo,false
Pure Morning,Placebo,false
Running Up That Hill,Placebo,false
The Bitter End,Placebo,false
Meds,"Placebo,Alison Mosshart",false
Every Rose Has Its Thorn,Poison,false
Nothin' But A Good Time,Poison,false
Talk Dirty To Me,Poison,false
Unskinny Bop,Poison,false
Your Mama Don't Dance,Poison,false
Can't Stand Losing You,The Police,false
Message In A Bottle,The Police,false
Glory Box,Portishead,false
Sour Times,Portishead,false
Lump,The Presidents Of The United States Of America,false
Peaches,The Presidents Of The United States Of America,false
Heaven Knows,The Pretty Reckless,false
Make Me Wanna Die,The Pretty Reckless,false
My Medicine,The Pretty Reckless,false
Take Me Down,The Pretty Reckless,false
Jerry Was A Race Car Driver,Primus,false
John The Fisherman,Primus,false
Tommy The Cat,Primus,false
Wynona's Big Brown Beaver,Primus,false
Blurry,Puddle Of Mudd,false
Control,Puddle Of Mudd,false
She Hates Me,Puddle Of Mudd,false
Another One Bites The Dust,Queen,false
Bohemian Rhapsody,Queen,false
Breakthru,Queen,false
Crazy Little Thing Called Love,Queen,false
Don't Stop Me Now,Queen,false
Fat Bottomed Girls,Queen,false
Flash,Queen,false
Hammer To Fall,Queen,false
I Want To Break Free,Queen,false
It'S A Kind Of Magic (Highlander),Queen,false
Killer Queen,Queen,false
One Vision,Queen,false
Somebody To Love,Queen,false
Stone Cold Crazy,Queen,false
The Show Must Go On,Queen,false
Too Much Love Will Kill You,Queen,false
We Are The Champions,Queen,false
We Will Rock You,Queen,false
Who Wants To Live Forever,Queen,false
You're My Best Friend,Queen,false
Under Pressure,"Queen,David Bowie",false
3's & 7's,Queens of the Stone Age,false
Go With The Flow,Queens of the Stone Age,false
I Sat by the Ocean,Queens of the Stone Age,false
Little Sister,Queens of the Stone Age,false
Make It Wit Chu,Queens of the Stone Age,false
No One Knows,Queens of the Stone Age,false
The Lost Art Of Keeping A Secret,Queens of the Stone Age,false
The Way You Used To Do,Queens of the Stone Age,false
"You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire",Queens of the Stone Age,false
Breaking The Silence,Queensrÿche,false
Cum on Feel the Noize,Quiet Riot,false
Metal Health (Bang Your Head),Quiet Riot,false
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,false
Losing My Religion,R.E.M.,false
Man On The Moon,R.E.M.,false
Orange Crush,R.E.M.,false
The One I Love,R.E.M.,false
"What’s The Frequency, Kenneth?",R.E.M.,false
Burn the Witch,Radiohead,false
Creep,Radiohead,false
High and Dry,Radiohead,false
Just,Radiohead,false
Karma Police,Radiohead,false
My Iron Lung,Radiohead,false
Street Spirit (Fade Out),Radiohead,false
Renegades Of Funk,Rage Against The Machine,false
Since You Been Gone,Rainbow,false
Amerika,Rammstein,false
Angst,Rammstein,false
Benzin,Rammstein,false
Deutschland,Rammstein,false
Dicke Titten,Rammstein,false
Du hast,Rammstein,false
Du riechst so gut,Rammstein,false
Engel,Rammstein,false
Feuer frei!,Rammstein,false
Ich will,Rammstein,false
Keine Lust,Rammstein,false
Mein Teil,Rammstein,false
Ohne dich,Rammstein,false
Pussy,Rammstein,false
Sonne,Rammstein,false
"Baby, I Love You",Ramones,false
Blitzkrieg Bop,Ramones,false
I Wanna Be Sedated,Ramones,false
Pet Sematary,Ramones,false
Sheena Is a Punk Rocker,Ramones,false
Roots Radical,Rancid,false
Ruby Soho,Rancid,false
Time Bomb,Rancid,false
In the Shadows,The Rasmus,false
Round and Round,Ratt,false
Aeroplane,Red Hot Chili Peppers,false
Around the World,Red Hot Chili Peppers,false
Breaking the Girl,Red Hot Chili Peppers,false
Californication,Red Hot Chili Peppers,false
Can't Stop,Red Hot Chili Peppers,false
Dani California,Red Hot Chili Peppers,false
Fortune Faded,Red Hot Chili Peppers,false
Give It Away,Red Hot Chili Peppers,false
Otherside,Red Hot Chili Peppers,false
Scar Tissue,Red Hot Chili Peppers,false
